关键词,编码,品目名称
粉针剂,A07022200,粉针剂
含有青霉素及其衍生物粉针剂,A07022201,含有青霉素及其衍生物粉针剂
含有链霉素及其衍生物粉针剂,A07022202,含有链霉素及其衍生物粉针剂
头孢类粉针剂,A07022203,头孢类粉针剂
含有相关抗菌素生物粉针剂,A07022204,含有相关抗菌素生物粉针剂
含有皮质甾类激素及其衍生物粉针剂,A07022205,含有皮质甾类激素及其衍生物粉针剂
其他粉针剂,A07022299,其他粉针剂
注射液,A07022300,注射液
含有相关抗菌素注射液,A07022301,含有相关抗菌素注射液
含有维生素原和维生素注射液,A07022302,含有维生素原和维生素注射液
含有皮质甾类激素及其衍生物注射液,A07022303,含有皮质甾类激素及其衍生物注射液
含有奎宁或其盐注射液,A07022304,含有奎宁或其盐注射液
含有生物碱及其衍生物注射液,A07022305,含有生物碱及其衍生物注射液
含有胰岛素注射液,A07022306,含有胰岛素注射液
避孕药注射液,A07022307,避孕药注射液
其他注射液,A07022399,其他注射液
含有抗菌素输液,A07022401,含有抗菌素输液
其他输液,A07022499,其他输液
含有青霉素及其衍生物片剂,A07022501,含有青霉素及其衍生物片剂
含有链霉素及其衍生物片剂,A07022502,含有链霉素及其衍生物片剂
含有先锋霉素片剂,A07022503,含有先锋霉素片剂
含有抗菌素片剂,A07022504,含有抗菌素片剂
含有奎宁或其盐的片剂,A07022505,含有奎宁或其盐的片剂
含有磺胺类片剂,A07022506,含有磺胺类片剂
含有联苯双酯片剂,A07022507,含有联苯双酯片剂
含有维生素及其衍生物片剂,A07022508,含有维生素及其衍生物片剂
含有皮质甾类激素及其衍生物片剂,A07022509,含有皮质甾类激素及其衍生物片剂
含有生物碱及其衍生物的片剂,A07022510,含有生物碱及其衍生物的片剂
避孕药片剂,A07022511,避孕药片剂
其他片剂,A07022599,其他片剂
胶囊剂,A07022600,胶囊剂
含有青霉素及其衍生物胶囊,A07022601,含有青霉素及其衍生物胶囊
含有链霉素及其衍生物胶囊,A07022602,含有链霉素及其衍生物胶囊
含有先锋霉素胶囊,A07022603,含有先锋霉素胶囊
含有相关抗菌素胶囊,A07022604,含有相关抗菌素胶囊
含有维生素及其衍生物胶囊,A07022605,含有维生素及其衍生物胶囊
其他胶囊剂,A07022699,其他胶囊剂
颗粒剂,A07022700,颗粒剂
含有青霉素及其衍生物颗粒剂,A07022701,含有青霉素及其衍生物颗粒剂
含有链霉素及其衍生物颗粒剂,A07022702,含有链霉素及其衍生物颗粒剂
含有先锋霉素颗粒剂,A07022703,含有先锋霉素颗粒剂
含有相关抗菌素颗粒剂,A07022704,含有相关抗菌素颗粒剂
其他颗粒剂,A07022799,其他颗粒剂
缓释控释片,A07022800,缓释控释片
含有抗菌素缓释控释片,A07022801,含有抗菌素缓释控释片
含有奎宁或其盐的缓释控释片,A07022802,含有奎宁或其盐的缓释控释片
含有磺胺类缓释控释片,A07022803,含有磺胺类缓释控释片
含有联苯双酯缓释控释片,A07022804,含有联苯双酯缓释控释片
含有维生素及其衍生物缓释控释片,A07022805,含有维生素及其衍生物缓释控释片
含有皮质甾类激素及其衍生物缓释控释片,A07022806,含有皮质甾类激素及其衍生物缓释控释片
含有生物碱及其衍生物缓释控释片,A07022807,含有生物碱及其衍生物缓释控释片
其他缓释控释片,A07022899,其他缓释控释片
膏霜剂,A07023000,膏霜剂
气雾剂,A07023200,气雾剂
口服液体制剂,A07023300,口服液体制剂
外用液体制剂,A07023400,外用液体制剂
避孕药物用具,A07023500,避孕药物用具
避孕环,A07023501,避孕环
避孕胶棒、膜,A07023502,避孕胶棒、膜
其他避孕药物用具,A07023599,其他避孕药物用具
植物类饮片,A07023600,植物类饮片
根及根茎类饮片,A07023601,根及根茎类饮片
块、根、茎类饮片,A07023602,块、根、茎类饮片
藤、茎类饮片,A07023603,藤、茎类饮片
木、心材类饮片,A07023604,木、心材类饮片
树皮类饮片,A07023605,树皮类饮片
叶片类饮片,A07023606,叶片类饮片
花、蕊类饮片,A07023607,花、蕊类饮片
果实、种子类饮片,A07023608,果实、种子类饮片
草类饮片,A07023609,草类饮片
藻、菌、地衣类饮片,A07023610,藻、菌、地衣类饮片
植物加工类饮片,A07023611,植物加工类饮片
其他植物类饮片,A07023699,其他植物类饮片
动物类饮片,A07023700,动物类饮片
动物全体类饮片,A07023701,动物全体类饮片
去内脏动物类饮片,A07023702,去内脏动物类饮片
动物皮、角类饮片,A07023703,动物皮、角类饮片
动物鳞片、贝壳类饮片,A07023704,动物鳞片、贝壳类饮片
动物骨骼、脏器类饮片,A07023705,动物骨骼、脏器类饮片
动物产物、加工类饮片,A07023706,动物产物、加工类饮片
其他动物类饮片,A07023799,其他动物类饮片
矿物类饮片,A07023800,矿物类饮片
白矾类饮片,A07023801,白矾类饮片
大青盐类饮片,A07023802,大青盐类饮片
磁石类饮片,A07023803,磁石类饮片
胆矾类饮片,A07023804,胆矾类饮片
赤石脂类饮片,A07023805,赤石脂类饮片
鹅管石类饮片,A07023806,鹅管石类饮片
红粉类饮片,A07023807,红粉类饮片
花蕊石类饮片,A07023808,花蕊石类饮片
海浮石类饮片,A07023809,海浮石类饮片
金礞石类饮片,A07023810,金礞石类饮片
硫磺类饮片,A07023811,硫磺类饮片
密陀僧类饮片,A07023812,密陀僧类饮片
寒水石类饮片,A07023813,寒水石类饮片
紫硇砂类饮片,A07023814,紫硇砂类饮片
硼砂类饮片,A07023815,硼砂类饮片
青礞石类饮片,A07023816,青礞石类饮片
轻粉类饮片,A07023817,轻粉类饮片
石膏类饮片,A07023818,石膏类饮片
龙齿类饮片,A07023819,龙齿类饮片
龙骨类饮片,A07023820,龙骨类饮片
炉甘石类饮片,A07023821,炉甘石类饮片
雄黄类饮片,A07023822,雄黄类饮片
赭石类饮片,A07023823,赭石类饮片
钟乳石类饮片,A07023824,钟乳石类饮片
紫石英类饮片,A07023825,紫石英类饮片
自然铜类饮片,A07023826,自然铜类饮片
云母石类饮片,A07023827,云母石类饮片
禹粮石类饮片,A07023828,禹粮石类饮片
其他矿物类饮片,A07023899,其他矿物类饮片
中成药丸剂,A07023900,中成药丸剂
解表丸丸剂,A07023901,解表丸丸剂
泻下丸剂,A07023902,泻下丸剂
和解丸剂,A07023903,和解丸剂
温里丸剂,A07023904,温里丸剂
清热丸剂,A07023905,清热丸剂
祛暑丸剂,A07023906,祛暑丸剂
补益丸剂,A07023907,补益丸剂
固涩丸剂,A07023908,固涩丸剂
安神丸剂,A07023909,安神丸剂
开窍丸剂,A07023910,开窍丸剂
理气丸剂,A07023911,理气丸剂
理血丸剂,A07023912,理血丸剂
止血丸剂,A07023913,止血丸剂
治风丸剂,A07023914,治风丸剂
祛湿丸剂,A07023915,祛湿丸剂
祛风湿丸剂,A07023916,祛风湿丸剂
祛痰丸剂,A07023917,祛痰丸剂
止咳平喘丸剂,A07023918,止咳平喘丸剂
消食丸剂,A07023919,消食丸剂
治泻、痢丸剂,A07023920,治泻、痢丸剂
小儿镇惊丸剂,A07023921,小儿镇惊丸剂
调经、止带丸剂,A07023922,调经、止带丸剂
治产后病丸剂,A07023923,治产后病丸剂
安胎丸剂,A07023924,安胎丸剂
利咽丸剂,A07023925,利咽丸剂
明目丸剂,A07023926,明目丸剂
通鼻丸剂,A07023927,通鼻丸剂
治耳丸剂,A07023928,治耳丸剂
驱虫、杀虫、止痒丸剂,A07023929,驱虫、杀虫、止痒丸剂
治痔丸剂,A07023930,治痔丸剂
治疮疡丸剂,A07023931,治疮疡丸剂
止酸解痉治胃痛丸剂,A07023932,止酸解痉治胃痛丸剂
抗痨丸剂,A07023933,抗痨丸剂
抗癌丸剂,A07023934,抗癌丸剂
其他中成药丸剂,A07023999,其他中成药丸剂
中成药冲剂,A07024000,中成药冲剂
解表冲剂,A07024001,解表冲剂
泻下冲剂,A07024002,泻下冲剂
和解冲剂,A07024003,和解冲剂
温里冲剂,A07024004,温里冲剂
清热冲剂,A07024005,清热冲剂
祛暑冲剂,A07024006,祛暑冲剂
补益冲剂,A07024007,补益冲剂
固涩冲剂,A07024008,固涩冲剂
安神冲剂,A07024009,安神冲剂
开窍冲剂,A07024010,开窍冲剂
理气冲剂,A07024011,理气冲剂
理血冲剂,A07024012,理血冲剂
止血冲剂,A07024013,止血冲剂
治风冲剂,A07024014,治风冲剂
祛湿冲剂,A07024015,祛湿冲剂
祛风湿冲剂,A07024016,祛风湿冲剂
祛痰冲剂,A07024017,祛痰冲剂
止咳平喘冲剂,A07024018,止咳平喘冲剂
消食冲剂,A07024019,消食冲剂
治泻、痢冲剂,A07024020,治泻、痢冲剂
小儿镇惊冲剂,A07024021,小儿镇惊冲剂
调经、止带冲剂,A07024022,调经、止带冲剂
治产后病冲剂,A07024023,治产后病冲剂
安胎冲剂,A07024024,安胎冲剂
利咽冲剂,A07024025,利咽冲剂
明目冲剂,A07024026,明目冲剂
通鼻冲剂,A07024027,通鼻冲剂
治耳冲剂,A07024028,治耳冲剂
驱虫、杀虫、止痒冲剂,A07024029,驱虫、杀虫、止痒冲剂
治痔冲剂,A07024030,治痔冲剂
治疮疡冲剂,A07024031,治疮疡冲剂
止酸解痉治胃痛冲剂,A07024032,止酸解痉治胃痛冲剂
抗痨冲剂,A07024033,抗痨冲剂
抗癌冲剂,A07024034,抗癌冲剂
其他中成药冲剂,A07024099,其他中成药冲剂
中成药糖浆,A07024100,中成药糖浆
解表糖浆,A07024101,解表糖浆
泻下糖浆,A07024102,泻下糖浆
和解糖浆,A07024103,和解糖浆
温里糖浆,A07024104,温里糖浆
清热糖浆,A07024105,清热糖浆
祛暑糖浆,A07024106,祛暑糖浆
补益糖浆,A07024107,补益糖浆
固涩糖浆,A07024108,固涩糖浆
安神糖浆,A07024109,安神糖浆
开窍糖浆,A07024110,开窍糖浆
理气糖浆,A07024111,理气糖浆
理血糖浆,A07024112,理血糖浆
止血糖浆,A07024113,止血糖浆
治风糖浆,A07024114,治风糖浆
祛湿糖浆,A07024115,祛湿糖浆
祛风湿糖浆,A07024116,祛风湿糖浆
祛痰糖浆,A07024117,祛痰糖浆
止咳平喘糖浆,A07024118,止咳平喘糖浆
消食糖浆,A07024119,消食糖浆
治泻、痢糖浆,A07024120,治泻、痢糖浆
小儿镇惊糖浆,A07024121,小儿镇惊糖浆
调经、止带糖浆,A07024122,调经、止带糖浆
治产后病糖浆,A07024123,治产后病糖浆
安胎糖浆,A07024124,安胎糖浆
利咽糖浆,A07024125,利咽糖浆
明目糖浆,A07024126,明目糖浆
通鼻糖浆,A07024127,通鼻糖浆
治耳糖浆,A07024128,治耳糖浆
驱虫、杀虫、止痒糖浆,A07024129,驱虫、杀虫、止痒糖浆
治痔糖浆,A07024130,治痔糖浆
治疮疡糖浆,A07024131,治疮疡糖浆
止酸解痉治胃痛糖浆,A07024132,止酸解痉治胃痛糖浆
抗痨糖浆,A07024133,抗痨糖浆
抗癌糖浆,A07024134,抗癌糖浆
其他中成药糖浆,A07024199,其他中成药糖浆
中成药片剂,A07024200,中成药片剂
解表片剂,A07024201,解表片剂
泻下片剂,A07024202,泻下片剂
和解片剂,A07024203,和解片剂
温里片剂,A07024204,温里片剂
清热片剂,A07024205,清热片剂
祛暑片剂,A07024206,祛暑片剂
补益片剂,A07024207,补益片剂
固涩片剂,A07024208,固涩片剂
安神片剂,A07024209,安神片剂
开窍片剂,A07024210,开窍片剂
理气片剂,A07024211,理气片剂
理血片剂,A07024212,理血片剂
止血片剂,A07024213,止血片剂
治风片剂,A07024214,治风片剂
祛湿片剂,A07024215,祛湿片剂
祛风湿片剂,A07024216,祛风湿片剂
祛痰片剂,A07024217,祛痰片剂
止咳平喘片剂,A07024218,止咳平喘片剂
消食片剂,A07024219,消食片剂
治泻、痢片剂,A07024220,治泻、痢片剂
小儿镇惊片剂,A07024221,小儿镇惊片剂
调经、止带片剂,A07024222,调经、止带片剂
治产后病片剂,A07024223,治产后病片剂
安胎片剂,A07024224,安胎片剂
利咽片剂,A07024225,利咽片剂
明目片剂,A07024226,明目片剂
通鼻片剂,A07024227,通鼻片剂
治耳片剂,A07024228,治耳片剂
驱虫、杀虫、止痒片剂,A07024229,驱虫、杀虫、止痒片剂
治痔片剂,A07024230,治痔片剂
治疮疡片剂,A07024231,治疮疡片剂
止酸解痉治胃痛片剂,A07024232,止酸解痉治胃痛片剂
抗痨片剂,A07024233,抗痨片剂
抗癌片剂,A07024234,抗癌片剂
其他中成药片剂,A07024299,其他中成药片剂
中成药针剂,A07024300,中成药针剂
解表针剂,A07024301,解表针剂
泻下针剂,A07024302,泻下针剂
和解针剂,A07024303,和解针剂
温里针剂,A07024304,温里针剂
清热针剂,A07024305,清热针剂
祛暑针剂,A07024306,祛暑针剂
补益针剂,A07024307,补益针剂
固涩针剂,A07024308,固涩针剂
安神针剂,A07024309,安神针剂
开窍针剂,A07024310,开窍针剂
理气针剂,A07024311,理气针剂
理血针剂,A07024312,理血针剂
止血针剂,A07024313,止血针剂
治风针剂,A07024314,治风针剂
祛湿针剂,A07024315,祛湿针剂
祛风湿针剂,A07024316,祛风湿针剂
祛痰针剂,A07024317,祛痰针剂
止咳平喘针剂,A07024318,止咳平喘针剂
消食针剂,A07024319,消食针剂
治泻、痢针剂,A07024320,治泻、痢针剂
小儿镇惊针剂,A07024321,小儿镇惊针剂
调经、止带针剂,A07024322,调经、止带针剂
治产后病针剂,A07024323,治产后病针剂
安胎针剂,A07024324,安胎针剂
利咽针剂,A07024325,利咽针剂
明目针剂,A07024326,明目针剂
通鼻针剂,A07024327,通鼻针剂
治耳针剂,A07024328,治耳针剂
驱虫、杀虫、止痒针剂,A07024329,驱虫、杀虫、止痒针剂
治痔针剂,A07024330,治痔针剂
治疮疡针剂,A07024331,治疮疡针剂
止酸解痉治胃痛针剂,A07024332,止酸解痉治胃痛针剂
抗痨针剂,A07024333,抗痨针剂
抗癌针剂,A07024334,抗癌针剂
其他中成药针剂,A07024399,其他中成药针剂
中成药注射液,A07024400,中成药注射液
解表注射液,A07024401,解表注射液
泻下注射液,A07024402,泻下注射液
和解注射液,A07024403,和解注射液
温里注射液,A07024404,温里注射液
清热注射液,A07024405,清热注射液
祛暑注射液,A07024406,祛暑注射液
补益注射液,A07024407,补益注射液
固涩注射液,A07024408,固涩注射液
安神注射液,A07024409,安神注射液
开窍注射液,A07024410,开窍注射液
理气注射液,A07024411,理气注射液
理血注射液,A07024412,理血注射液
止血注射液,A07024413,止血注射液
治风注射液,A07024414,治风注射液
祛湿注射液,A07024415,祛湿注射液
祛风湿注射液,A07024416,祛风湿注射液
祛痰注射液,A07024417,祛痰注射液
止咳平喘注射液,A07024418,止咳平喘注射液
消食注射液,A07024419,消食注射液
治泻、痢注射液,A07024420,治泻、痢注射液
小儿镇惊注射液,A07024421,小儿镇惊注射液
调经、止带注射液,A07024422,调经、止带注射液
治产后病注射液,A07024423,治产后病注射液
安胎注射液,A07024424,安胎注射液
利咽注射液,A07024425,利咽注射液
明目注射液,A07024426,明目注射液
通鼻注射液,A07024427,通鼻注射液
治耳注射液,A07024428,治耳注射液
驱虫、杀虫、止痒注射液,A07024429,驱虫、杀虫、止痒注射液
治痔注射液,A07024430,治痔注射液
治疮疡注射液,A07024431,治疮疡注射液
止酸解痉治胃痛注射液,A07024432,止酸解痉治胃痛注射液
抗痨注射液,A07024433,抗痨注射液
抗癌注射液,A07024434,抗癌注射液
其他中成药注射液,A07024499,其他中成药注射液
解表膏药,A07024501,解表膏药
泻下膏药,A07024502,泻下膏药
和解膏药,A07024503,和解膏药
温里膏药,A07024504,温里膏药
清热膏药,A07024505,清热膏药
祛暑膏药,A07024506,祛暑膏药
补益膏药,A07024507,补益膏药
固涩膏药,A07024508,固涩膏药
安神膏药,A07024509,安神膏药
开窍膏药,A07024510,开窍膏药
理气膏药,A07024511,理气膏药
理血膏药,A07024512,理血膏药
止血膏药,A07024513,止血膏药
治风膏药,A07024514,治风膏药
祛湿膏药,A07024515,祛湿膏药
祛风湿膏药,A07024516,祛风湿膏药
祛痰膏药,A07024517,祛痰膏药
止咳平喘膏药,A07024518,止咳平喘膏药
消食膏药,A07024519,消食膏药
治泻、痢膏药,A07024520,治泻、痢膏药
小儿镇惊膏药,A07024521,小儿镇惊膏药
调经、止带膏药,A07024522,调经、止带膏药
治产后病膏药,A07024523,治产后病膏药
安胎膏药,A07024524,安胎膏药
利咽膏药,A07024525,利咽膏药
明目膏药,A07024526,明目膏药
通鼻膏药,A07024527,通鼻膏药
治耳膏药,A07024528,治耳膏药
驱虫、杀虫、止痒膏药,A07024529,驱虫、杀虫、止痒膏药
治痔膏药,A07024530,治痔膏药
治疮疡膏药,A07024531,治疮疡膏药
止酸解痉治胃痛膏药,A07024532,止酸解痉治胃痛膏药
抗痨膏药,A07024533,抗痨膏药
抗癌膏药,A07024534,抗癌膏药
其他膏药,A07024599,其他膏药
中成药口服液,A07024600,中成药口服液
解表口服液,A07024601,解表口服液
泻下口服液,A07024602,泻下口服液
和解口服液,A07024603,和解口服液
温里口服液,A07024604,温里口服液
清热口服液,A07024605,清热口服液
祛暑口服液,A07024606,祛暑口服液
补益口服液,A07024607,补益口服液
固涩口服液,A07024608,固涩口服液
安神口服液,A07024609,安神口服液
开窍口服液,A07024610,开窍口服液
理气口服液,A07024611,理气口服液
理血口服液,A07024612,理血口服液
止血口服液,A07024613,止血口服液
治风口服液,A07024614,治风口服液
祛湿口服液,A07024615,祛湿口服液
祛风湿口服液,A07024616,祛风湿口服液
祛痰口服液,A07024617,祛痰口服液
止咳平喘口服液,A07024618,止咳平喘口服液
消食口服液,A07024619,消食口服液
治泻、痢口服液,A07024620,治泻、痢口服液
小儿镇惊口服液,A07024621,小儿镇惊口服液
调经、止带口服液,A07024622,调经、止带口服液
治产后病口服液,A07024623,治产后病口服液
安胎口服液,A07024624,安胎口服液
利咽口服液,A07024625,利咽口服液
明目口服液,A07024626,明目口服液
通鼻口服液,A07024627,通鼻口服液
治耳口服液,A07024628,治耳口服液
驱虫、杀虫、止痒口服液,A07024629,驱虫、杀虫、止痒口服液
治痔口服液,A07024630,治痔口服液
治疮疡口服液,A07024631,治疮疡口服液
止酸解痉治胃痛口服液,A07024632,止酸解痉治胃痛口服液
抗痨口服液,A07024633,抗痨口服液
抗癌口服液,A07024634,抗癌口服液
其他中成药口服液,A07024699,其他中成药口服液
中成药胶囊,A07024700,中成药胶囊
解表胶囊,A07024701,解表胶囊
泻下胶囊,A07024702,泻下胶囊
和解胶囊,A07024703,和解胶囊
温里胶囊,A07024704,温里胶囊
清热胶囊,A07024705,清热胶囊
祛暑胶囊,A07024706,祛暑胶囊
补益胶囊,A07024707,补益胶囊
固涩胶囊,A07024708,固涩胶囊
安神胶囊,A07024709,安神胶囊
开窍胶囊,A07024710,开窍胶囊
理气胶囊,A07024711,理气胶囊
理血胶囊,A07024712,理血胶囊
止血胶囊,A07024713,止血胶囊
治风胶囊,A07024714,治风胶囊
祛湿胶囊,A07024715,祛湿胶囊
祛风湿胶囊,A07024716,祛风湿胶囊
祛痰胶囊,A07024717,祛痰胶囊
止咳平喘胶囊,A07024718,止咳平喘胶囊
消食胶囊,A07024719,消食胶囊
治泻、痢胶囊,A07024720,治泻、痢胶囊
小儿镇惊胶囊,A07024721,小儿镇惊胶囊
调经、止带胶囊,A07024722,调经、止带胶囊
治产后病胶囊,A07024723,治产后病胶囊
安胎胶囊,A07024724,安胎胶囊
利咽胶囊,A07024725,利咽胶囊
明目胶囊,A07024726,明目胶囊
通鼻胶囊,A07024727,通鼻胶囊
治耳胶囊,A07024728,治耳胶囊
驱虫、杀虫、止痒胶囊,A07024729,驱虫、杀虫、止痒胶囊
治痔胶囊,A07024730,治痔胶囊
治疮疡胶囊,A07024731,治疮疡胶囊
止酸解痉治胃痛胶囊,A07024732,止酸解痉治胃痛胶囊
抗痨胶囊,A07024733,抗痨胶囊
抗癌胶囊,A07024734,抗癌胶囊
其他中成药胶囊,A07024799,其他中成药胶囊
中成药散剂,A07024800,中成药散剂
解表散剂,A07024801,解表散剂
泻下散剂,A07024802,泻下散剂
和解散剂,A07024803,和解散剂
温里散剂,A07024804,温里散剂
清热散剂,A07024805,清热散剂
祛暑散剂,A07024806,祛暑散剂
补益散剂,A07024807,补益散剂
固涩散剂,A07024808,固涩散剂
安神散剂,A07024809,安神散剂
开窍散剂,A07024810,开窍散剂
理气散剂,A07024811,理气散剂
理血散剂,A07024812,理血散剂
止血散剂,A07024813,止血散剂
治风散剂,A07024814,治风散剂
祛湿散剂,A07024815,祛湿散剂
祛风湿散剂,A07024816,祛风湿散剂
祛痰散剂,A07024817,祛痰散剂
止咳平喘散剂,A07024818,止咳平喘散剂
消食散剂,A07024819,消食散剂
治泻、痢散剂,A07024820,治泻、痢散剂
小儿镇惊散剂,A07024821,小儿镇惊散剂
调经、止带散剂,A07024822,调经、止带散剂
治产后病散剂,A07024823,治产后病散剂
安胎散剂,A07024824,安胎散剂
利咽散剂,A07024825,利咽散剂
明目散剂,A07024826,明目散剂
通鼻散剂,A07024827,通鼻散剂
治耳散剂,A07024828,治耳散剂
驱虫、杀虫、止痒散剂,A07024829,驱虫、杀虫、止痒散剂
治痔散剂,A07024830,治痔散剂
治疮疡散剂,A07024831,治疮疡散剂
止酸解痉治胃痛散剂,A07024832,止酸解痉治胃痛散剂
抗痨散剂,A07024833,抗痨散剂
抗癌散剂,A07024834,抗癌散剂
其他中成药散剂,A07024899,其他中成药散剂
中成药栓剂,A07024900,中成药栓剂
解表栓剂,A07024901,解表栓剂
泻下栓剂,A07024902,泻下栓剂
和解栓剂,A07024903,和解栓剂
温里栓剂,A07024904,温里栓剂
清热栓剂,A07024905,清热栓剂
祛暑栓剂,A07024906,祛暑栓剂
补益栓剂,A07024907,补益栓剂
固涩栓剂,A07024908,固涩栓剂
安神栓剂,A07024909,安神栓剂
开窍栓剂,A07024910,开窍栓剂
理气栓剂,A07024911,理气栓剂
理血栓剂,A07024912,理血栓剂
止血栓剂,A07024913,止血栓剂
治风栓剂,A07024914,治风栓剂
祛湿栓剂,A07024915,祛湿栓剂
祛风湿栓剂,A07024916,祛风湿栓剂
祛痰栓剂,A07024917,祛痰栓剂
止咳平喘栓剂,A07024918,止咳平喘栓剂
消食栓剂,A07024919,消食栓剂
治泻、痢栓剂,A07024920,治泻、痢栓剂
小儿镇惊栓剂,A07024921,小儿镇惊栓剂
调经、止带栓剂,A07024922,调经、止带栓剂
治产后病栓剂,A07024923,治产后病栓剂
安胎栓剂,A07024924,安胎栓剂
利咽栓剂,A07024925,利咽栓剂
明目栓剂,A07024926,明目栓剂
通鼻栓剂,A07024927,通鼻栓剂
治耳栓剂,A07024928,治耳栓剂
驱虫、杀虫、止痒栓剂,A07024929,驱虫、杀虫、止痒栓剂
治痔栓剂,A07024930,治痔栓剂
治疮疡栓剂,A07024931,治疮疡栓剂
止酸解痉治胃痛栓剂,A07024932,止酸解痉治胃痛栓剂
抗痨栓剂,A07024933,抗痨栓剂
抗癌栓剂,A07024934,抗癌栓剂
其他中成药栓剂,A07024999,其他中成药栓剂
补益药酒,A07025001,补益药酒
固涩药酒,A07025002,固涩药酒
安神药酒,A07025003,安神药酒
开窍药酒,A07025004,开窍药酒
理气药酒,A07025005,理气药酒
理血药酒,A07025006,理血药酒
止血药酒,A07025007,止血药酒
治风药酒,A07025008,治风药酒
祛湿药酒,A07025009,祛湿药酒
其他药酒,A07025099,其他药酒
清凉油,A07025100,清凉油
治风剂清凉油,A07025101,治风剂清凉油
其他清凉油,A07025199,其他清凉油
兽用药品,A07025200,兽用药品
兽用化学药品,A07025201,兽用化学药品
兽用血清制品,A07025202,兽用血清制品
兽用疫苗,A07025203,兽用疫苗
兽用诊断制品,A07025204,兽用诊断制品
兽用微生态制品,A07025205,兽用微生态制品
兽用中药材,A07025206,兽用中药材
兽用中成药,A07025207,兽用中成药
兽用抗生素,A07025208,兽用抗生素
兽用生化药品,A07025209,兽用生化药品
兽用放射性药品,A07025210,兽用放射性药品
兽用外用杀虫剂,A07025211,兽用外用杀虫剂
兽用消毒剂,A07025212,兽用消毒剂
其他兽用药品,A07025299,其他兽用药品
酶类生化制剂,A07025300,酶类生化制剂
胰蛋白酶制剂,A07025301,胰蛋白酶制剂
糜蛋白酶制剂,A07025302,糜蛋白酶制剂
菠萝蛋白酶制剂,A07025303,菠萝蛋白酶制剂
链激酶制剂,A07025304,链激酶制剂
重组链激酶制剂,A07025305,重组链激酶制剂
双链酶制剂,A07025306,双链酶制剂
尿激酶制剂,A07025307,尿激酶制剂
溶菌酶制剂,A07025308,溶菌酶制剂
辅酶Q10制剂,A07025309,辅酶Q10制剂
辅酶Ⅰ制剂,A07025310,辅酶Ⅰ制剂
复合辅酶制剂,A07025311,复合辅酶制剂
门冬酰胺酶制剂,A07025312,门冬酰胺酶制剂
胰酶制剂,A07025313,胰酶制剂
多酶制剂,A07025314,多酶制剂
复合多酶制剂,A07025315,复合多酶制剂
胃蛋白酶制剂,A07025316,胃蛋白酶制剂
含糖胃蛋白酶制剂,A07025317,含糖胃蛋白酶制剂
淀粉酶制剂,A07025318,淀粉酶制剂
其他酶类生化制剂,A07025399,其他酶类生化制剂
氨基酸及蛋白质类药,A07025400,氨基酸及蛋白质类药
乙酰半胱氨酸制剂,A07025401,乙酰半胱氨酸制剂
羧甲司坦制剂,A07025402,羧甲司坦制剂
盐酸美司坦制剂,A07025403,盐酸美司坦制剂
胱氨酸制剂,A07025404,胱氨酸制剂
盐酸赖氨酸制剂,A07025405,盐酸赖氨酸制剂
谷氨酸制剂,A07025406,谷氨酸制剂
门冬氨酸制剂,A07025407,门冬氨酸制剂
门冬酰胺制剂,A07025408,门冬酰胺制剂
复合氨基酸制剂,A07025409,复合氨基酸制剂
复方氨基酸制剂,A07025410,复方氨基酸制剂
复方赖氨酸制剂,A07025411,复方赖氨酸制剂
注射用氨基酸类药及输液,A07025412,注射用氨基酸类药及输液
其他氨基酸及蛋白质类药,A07025499,其他氨基酸及蛋白质类药
脂肪类药制剂,A07025500,脂肪类药制剂
注射用脂肪类药,A07025501,注射用脂肪类药
脂肪类药胶囊,A07025502,脂肪类药胶囊
脂肪类药片剂,A07025503,脂肪类药片剂
其他脂肪类药制剂,A07025599,其他脂肪类药制剂
核酸类药制剂,A07025600,核酸类药制剂
三磷腺苷钠制剂,A07025601,三磷腺苷钠制剂
环磷腺苷制剂,A07025602,环磷腺苷制剂
肌苷制剂,A07025603,肌苷制剂
核糖核酸制剂,A07025604,核糖核酸制剂
其他核酸类药制剂,A07025699,其他核酸类药制剂
伤寒菌苗,A07025701,伤寒菌苗
霍乱菌苗,A07025702,霍乱菌苗
霍乱伤寒混合菌苗,A07025703,霍乱伤寒混合菌苗
霍乱伤寒副伤寒甲乙菌苗,A07025704,霍乱伤寒副伤寒甲乙菌苗
伤寒副伤寒甲乙菌苗,A07025705,伤寒副伤寒甲乙菌苗
伤寒副伤寒甲二联菌苗,A07025706,伤寒副伤寒甲二联菌苗
伤寒副伤寒甲乙三联菌苗,A07025707,伤寒副伤寒甲乙三联菌苗
霍乱伤寒副伤寒甲乙四联菌苗,A07025708,霍乱伤寒副伤寒甲乙四联菌苗
百日咳菌苗,A07025709,百日咳菌苗
钩端螺旋体菌苗,A07025710,钩端螺旋体菌苗
多价钩端螺旋体菌苗,A07025711,多价钩端螺旋体菌苗
脑膜炎球菌多糖菌苗(A群),A07025712,脑膜炎球菌多糖菌苗(A群)
炭疽活菌苗,A07025713,炭疽活菌苗
气管炎菌苗,A07025714,气管炎菌苗
气管炎溶菌菌苗,A07025715,气管炎溶菌菌苗
吸附霍乱菌苗,A07025716,吸附霍乱菌苗
吸附霍乱类毒素菌苗,A07025717,吸附霍乱类毒素菌苗
冻干牛痘苗,A07025718,冻干牛痘苗
流脑菌苗,A07025719,流脑菌苗
